Product,pegasus sales and service in Amazon,Amazon.com in Amazon,Beach Camera Same Day Shipping in Amazon,BREED in Amazon,Interloper Inc in Amazon,Focus Camera LLC in Amazon,VirVentures in Amazon,DEALS#1 in Amazon,Entegron in Amazon,Printermalls in Amazon,ⓄfficeⓄnline in Amazon,US Seller/We ship from USA in Amazon,smartworm in Amazon,gsmHero in Amazon,Mobile Trade in Amazon,MELOFONE in Amazon
XA2_Black,289.99,299.99,315.0,329.99,342.38,349.99,361.47,414.0,417.0,,,,,,,
XA2_Silver,,299.99,319.0,293.47,342.38,349.99,361.47,414.0,417.0,293.47,412.98,,,,,
XA2_Pink,,299.99,305.0,293.48,342.38,298.0,361.47,414.0,417.0,293.48,,,,,,
XA2_Blue,,312.94,305.0,293.47,342.38,349.99,361.47,414.0,417.0,293.47,,,,,,
XA2_Ultra_Black,,379.99,398.0,429.99,,449.99,461.63,524.4,528.2,,,699.0,,,,
XA2_Ultra_Silver,,399.99,398.0,,454.14,449.99,461.63,552.0,556.0,387.82,566.38,699.0,,,,
XA2_Ultra_Gold,,379.99,398.0,,454.14,449.99,461.63,524.4,528.2,,566.38,699.0,,,,
XA2_Ultra_Blue,,379.99,,394.99,454.14,449.99,461.63,524.4,528.2,387.82,,699.0,,,,
L2_Black,,199.99,,219.99,288.98,219.99,261.31,280.0,278.0,248.6,,,,,,
L2_Pink,,199.99,221.0,,,219.99,,280.0,278.0,,309.14,,,,,
L2_Gold,,214.99,219.0,,288.98,219.99,,280.0,278.0,,302.65,,,,,
XZ3_Black_Ear_Duo,,899.99,,,,,,,,,,,,,,
XZ3_Black,,899.99,,,,,,,,,,,,,,
XZ3_Silver,,899.99,,,,,,,,,,,,,,
XZ3_Green,,899.99,,,,,,,,,,,,,,
XZ2_Premium_Black,,999.99,,,,,,,,,,,,,,
XZ2_Premium_Chrome,,999.99,999.99,,,,,,,,,,,,,
XZ2_Premium_Bundle_Black,,,,,,999.99,,,,,,,,,,
XZ2_Premium_Bundle_Chrome,,,,,,999.99,,,,,,,,,,
XZ2_Black,,699.99,699.99,,789.42,799.99,,945.0,931.0,,,,,,,
XZ2_Silver,,699.99,699.99,,789.42,699.99,,945.0,931.0,,,,,,,
XZ2_Pink,,699.99,699.99,,789.42,699.99,817.38,945.0,931.0,658.77,,,,,,
XZ2_Green,,699.99,699.99,,901.19,,817.38,945.0,931.0,752.89,,,,,,
XZ2_Compact_Black,,499.99,,,,499.99,667.14,,,599.98,,755.98,599.0,,,
XZ2_Compact_Silver,,499.99,,,733.54,499.99,,690.0,665.0,,,779.98,,,,
XZ2_Compact_Pink,,499.99,499.99,,733.54,499.99,667.14,690.0,665.0,611.71,,799.98,,,,
XZ2_Compact_Green,,499.99,,,733.54,499.99,667.14,690.0,665.0,,,799.98,,,,
XZ1_Black,,,,,,,,,,,,987.0,,,,
XZ1_Silver,,499.99,485.0,,,,,,,,,987.0,,,,
XZ1_Blue,,499.99,,,,,,,,,,987.0,,,,
XZ1_Pink,,499.99,,,,,,,,,,987.0,,,,
XZ_Premium_Black,,549.46,,,,529.99,,,,,,999.0,,,,
XZ_Premium_Chrome,,,549.99,,,529.99,,,,,,1300.0,,539.99,609.12,
XZ_Premium_Pink,,489.99,,,,,,,,,,1300.0,,,,
XZ_Premium_Red,,,599.99,,,,,,,,,,,,,
XA1_Plus_Black,,,,,,,,,,,,,,,,
XA1_Plus_Blue,,294.86,,,,,,,,,,,,,,
XA1_Plus_Gold,,293.73,,,,,,,,,,,,,,232.99
