Product, IPC Store in Newegg.com, Focus Camera in Newegg.com, Beach Camera in Newegg.com
XA2_Black,290.02,,
XA2_Silver,,349.99,
XA2_Pink,290.02,,
XA2_Blue,290.02,,
XA2_Ultra_Black,380.67,,
XA2_Ultra_Silver,,449.99,
XA2_Ultra_Blue,,449.99,
L2_Black,,219.99,
L2_Pink,,219.99,
L2_Gold,,219.99,
XZ2_Black,,799.99,
XZ2_Silver,,799.99,
XZ2_Pink,,799.99,
XZ2_Green,,799.99,
XZ2_Beach_B_Black,,,699.99
XZ2_Beach_B_Silver,,,699.99
XZ2_Beach_B_Pink,,,699.99
XZ2_Beach_B_Green,,,699.99
XZ2_Compact_Silver,,499.99,
XZ2_Compact_Pink,,499.99,
XZ2_Compact_Green,,499.99,
XZ2_Compact_Beach_B_Black,,,
XZ2_Compact_Beach_B_Silver,,,499.99
XZ2_Compact_Beach_B_Pink,,,499.99
XZ2_Compact_Beach_B_Green,,,
