Product,Walmart in Walmart,BREED in Walmart,Beach Camera in Walmart,CompuDirect in Walmart,Interloper.com in Walmart,Focus Camera in Walmart,VirVentures in Walmart
XA2_Black,299.99,,,,,,
XA2_Silver,299.95,,,,,,
XA2_Pink,299.95,299.95,299.99,340.49,347.38,349.99,
XA2_Blue,,,299.99,340.48,347.38,349.99,369.6
XA2_Ultra_Black,379.99,,,,,,
XA2_Ultra_Gold,,,,,,,
XA2_Ultra_Silver,,,399.99,434.82,459.14,449.99,472.0
XA2_Ultra_Blue,,,,434.82,459.14,449.99,
L2_Black,199.99,,,,,,
L2_Pink,,,219.99,270.05,,219.99,
L2_Gold,,,219.99,270.05,296.48,219.99,
XZ2_Beach_B_Black,,,699.99,,,,
XZ2_Beach_B_Silver,,,699.99,,,,
XZ2_Beach_B_Pink,,,699.99,,,,
XZ2_Beach_B_Green,,,699.99,,,,
XZ2_Compact_Beach_B_Silver,,,499.99,,,,
XZ2_Compact_Beach_B_Pink,,,,,,,
XZ2_Compact_Silver,,,499.99,,738.54,499.99,
